Ano,Jogo,Desenvolvedor,Vencedor,Indicacoes,Premiacoes,Nota Metacritic
2014,Dragon Age: Inquisition,['BioWare'],True,2,2,85
2014,Bayonetta 2,['PlatinumGames'],False,2,0,91
2014,Dark Souls II,['FromSoftware'],False,3,0,91
2014,Hearthstone,['Blizzard Entertainment'],False,3,1,88
2014,Middle-earth: Shadow of Mordor,['Monolith Productions'],False,3,1,84
2015,The Witcher 3: Wild Hunt,['CD Projekt Red'],True,6,2,92
2015,Bloodborne,['FromSoftware'],False,3,0,92
2015,Fallout 4,['Bethesda Game Studios'],False,3,0,87
2015,Metal Gear Solid V: The Phantom Pain,['Kojima Productions'],False,4,2,93
2015,Super Mario Maker,['Nintendo'],False,2,1,88
2016,Overwatch,['Blizzard Entertainment'],True,5,3,91
2016,Doom,['id Software'],False,4,2,79
2016,Inside,['Playdead'],False,5,2,93
2016,Titanfall 2,['Respawn Entertainment'],False,4,0,89
2016,Uncharted 4: A Thief's End,['Naughty Dog'],False,8,2,93
2017,The Legend of Zelda: Breath of the Wild,['Nintendo'],True,6,3,97
2017,Horizon Zero Dawn,"['Guerrilla Games', 'Sony Interactive Entertainment']",False,6,0,89
2017,Persona 5,['Atlus'],False,4,1,93
2017,PlayerUnknown's Battlegrounds,['PUBG Corporation'],False,3,1,86
2017,Super Mario Odyssey,['Nintendo'],False,6,1,97
2018,God of War,"['Santa Monica Studio', 'Sony Interactive Entertainment']",True,8,3,94
2018,Assassin's Creed Odyssey,"['Ubisoft Quebec', 'Ubisoft']",False,4,0,83
2018,Celeste,['Maddy Makes Games'],False,4,2,92
2018,Marvel's Spider-Man,"['Insomniac Games', 'Sony Interactive Entertainment']",False,7,0,87
2018,Monster Hunter: World,['Capcom'],False,3,1,90
2018,Red Dead Redemption 2,['Rockstar Games'],False,8,4,97
2019,Sekiro: Shadows Die Twice,"['FromSoftware', 'Activision']",True,5,2,90
2019,Control,"['Remedy Entertainment', '505 Games']",False,8,1,82
2019,Death Stranding,"['Kojima Productions', 'Sony Interactive Entertainment']",False,10,3,82
2019,The Outer Worlds,"['Obsidian Entertainment', 'Private Division']",False,4,0,85
2019,Resident Evil 2,['Capcom'],False,4,0,91
2019,Super Smash Bros. Ultimate,"['Bandai Namco Studios ,  Sora Ltd.', 'Nintendo']",False,4,1,93
2020,The Last of Us Part II,"['Naughty Dog', 'Sony Interactive Entertainment']",True,11,7,93
2020,Animal Crossing: New Horizons,['Nintendo'],False,3,1,90
2020,Doom Eternal,"['id Software', 'Bethesda Softworks']",False,5,0,88
2020,Final Fantasy VII Remake,['Square Enix'],False,6,2,87
2020,Ghost of Tsushima,"['Sucker Punch Productions', 'Sony Interactive Entertainment']",False,8,2,83
2020,Hades,['Supergiant Games'],False,9,2,93
2021,It Takes Two,"['Hazelight Studios', 'Electronic Arts']",True,6,3,88
2021,Deathloop,"['Arkane Studios', 'Bethesda Softworks']",False,9,2,88
2021,Metroid Dread,"['MercurySteam', 'Nintendo']",False,3,1,88
2021,Psychonauts 2,"['Double Fine', 'Xbox Game Studios']",False,5,0,87
2021,Ratchet & Clank: Rift Apart,"['Insomniac Games', 'Sony Interactive Entertainment']",False,6,0,88
2021,Resident Evil Village,['Capcom'],False,5,1,84
2022,Elden Ring,"['FromSoftware', 'Bandai Namco Entertainment']",True,8,4,96
2022,A Plague Tale: Requiem,"['Asobo Studio', 'Focus Entertainment']",False,5,0,82
2022,God of War Ragnarök,"['Santa Monica Studio', 'Sony Interactive Entertainment']",False,11,6,94
2022,Horizon Forbidden West,"['Guerrilla Games', 'Sony Interactive Entertainment']",False,7,0,88
2022,Stray,"['BlueTwelve Studio', 'Annapurna Interactive']",False,7,2,83
2022,Xenoblade Chronicles 3,"['Monolith Soft', 'Nintendo']",False,3,0,89
2023,Baldur's Gate 3,['Larian Studios'],True,9,6,96
2023,Alan Wake 2,"['Remedy Entertainment', 'Epic Games Publishing']",False,8,3,89
2023,The Legend of Zelda: Tears of the Kingdom,"['Nintendo EPD', 'Nintendo']",False,6,1,96
2023,Marvel's Spider-Man 2,"['Insomniac Games', 'Sony Interactive Entertainment']",False,7,0,90
2023,Resident Evil 4,['Capcom'],False,3,0,93
2023,Super Mario Bros. Wonder,"['Nintendo EPD', 'Nintendo']",False,5,1,92
2024,Astro Bot,"['Team Asobi', 'Sony Interactive Entertainment']",True,7,4,94
2024,Balatro,"['LocalThunk', 'Playstack']",False,5,3,90
2024,Black Myth: Wukong,['Game Science'],False,5,2,81
2024,Elden Ring: Shadow of the Erdtree,"['FromSoftware', 'Bandai Namco Entertainment']",False,5,0,94
2024,Final Fantasy VII Rebirth,['Square Enix'],False,7,1,92
2024,Metaphor: ReFantazio,"['Studio Zero', 'Sega']",False,6,3,94
